SNo,ObservationDate,Province/State,UF,Country/Region,Last Update,Confirmed,Deaths,Recovered
27259,05/20/2020,Acre,AC,Brazil,02/04/2021 15:13,2817.0,76.0,0.0
27262,05/20/2020,Alagoas,AL,Brazil,02/04/2021 15:13,4437.0,251.0,0.0
27265,05/20/2020,Amapa,AP,Brazil,02/04/2021 15:13,4549.0,142.0,0.0
27266,05/20/2020,Amazonas,AM,Brazil,02/04/2021 15:13,23704.0,1561.0,0.0
27282,05/20/2020,Bahia,BA,Brazil,02/04/2021 15:13,11197.0,362.0,0.0
27308,05/20/2020,Ceara,CE,Brazil,02/04/2021 15:13,30560.0,1900.0,0.0
27325,05/20/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,5161.0,77.0,0.0
27328,05/20/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,8092.0,341.0,0.0
27341,05/20/2020,Goias,GO,Brazil,02/04/2021 15:13,1978.0,78.0,0.0
27388,05/20/2020,Maranhao,MA,Brazil,02/04/2021 15:13,15114.0,634.0,0.0
27393,05/20/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,1054.0,32.0,0.0
27394,05/20/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,693.0,17.0,0.0
27403,05/20/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,5286.0,177.0,0.0
27445,05/20/2020,Para,PA,Brazil,02/04/2021 15:13,18135.0,1633.0,0.0
27446,05/20/2020,Paraiba,PB,Brazil,02/04/2021 15:13,5838.0,230.0,0.0
27447,05/20/2020,Parana,PR,Brazil,02/04/2021 15:13,2616.0,137.0,0.0
27449,05/20/2020,Pernambuco,PE,Brazil,02/04/2021 15:13,22560.0,1834.0,0.0
27450,05/20/2020,Piaui,PI,Brazil,02/04/2021 15:13,2637.0,87.0,0.0
27465,05/20/2020,Rio Grande do Norte,RN,Brazil,02/04/2021 15:13,3796.0,170.0,0.0
27466,05/20/2020,Rio Grande do Sul,RS,Brazil,02/04/2021 15:13,4973.0,161.0,0.0
27467,05/20/2020,Rio de Janeiro,RJ,Brazil,02/04/2021 15:13,30372.0,3237.0,0.0
27468,05/20/2020,Rondonia,RO,Brazil,02/04/2021 15:13,2499.0,90.0,0.0
27469,05/20/2020,Roraima,RR,Brazil,02/04/2021 15:13,2067.0,64.0,0.0
27477,05/20/2020,Santa Catarina,SC,Brazil,02/04/2021 15:13,5499.0,94.0,0.0
27478,05/20/2020,Sao Paulo,SP,Brazil,02/04/2021 15:13,69859.0,5363.0,0.0
27482,05/20/2020,Sergipe,SE,Brazil,02/04/2021 15:13,4277.0,69.0,0.0
27506,05/20/2020,Tocantins,TO,Brazil,02/04/2021 15:13,1809.0,42.0,0.0
27715,05/21/2020,Acre,AC,Brazil,02/04/2021 15:13,3103.0,78.0,0.0
27718,05/21/2020,Alagoas,AL,Brazil,02/04/2021 15:13,4916.0,262.0,0.0
27721,05/21/2020,Amapa,AP,Brazil,02/04/2021 15:13,5188.0,151.0,0.0
27722,05/21/2020,Amazonas,AM,Brazil,02/04/2021 15:13,25367.0,1620.0,0.0
27738,05/21/2020,Bahia,BA,Brazil,02/04/2021 15:13,11941.0,376.0,0.0
27764,05/21/2020,Ceara,CE,Brazil,02/04/2021 15:13,31413.0,2161.0,0.0
27781,05/21/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,5542.0,84.0,0.0
27784,05/21/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,8878.0,363.0,0.0
27797,05/21/2020,Goias,GO,Brazil,02/04/2021 15:13,2114.0,85.0,0.0
27844,05/21/2020,Maranhao,MA,Brazil,02/04/2021 15:13,16058.0,663.0,0.0
27849,05/21/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,1172.0,34.0,0.0
27850,05/21/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,746.0,17.0,0.0
27859,05/21/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,5596.0,191.0,0.0
27901,05/21/2020,Para,PA,Brazil,02/04/2021 15:13,19756.0,1852.0,0.0
27902,05/21/2020,Paraiba,PB,Brazil,02/04/2021 15:13,6238.0,245.0,0.0
27903,05/21/2020,Parana,PR,Brazil,02/04/2021 15:13,2810.0,141.0,0.0
27905,05/21/2020,Pernambuco,PE,Brazil,02/04/2021 15:13,23911.0,1925.0,0.0
27906,05/21/2020,Piaui,PI,Brazil,02/04/2021 15:13,2852.0,91.0,0.0
27921,05/21/2020,Rio Grande do Norte,RN,Brazil,02/04/2021 15:13,4060.0,178.0,0.0
27922,05/21/2020,Rio Grande do Sul,RS,Brazil,02/04/2021 15:13,5473.0,166.0,0.0
27923,05/21/2020,Rio de Janeiro,RJ,Brazil,02/04/2021 15:13,32089.0,3412.0,0.0
27924,05/21/2020,Rondonia,RO,Brazil,02/04/2021 15:13,2659.0,101.0,0.0
27925,05/21/2020,Roraima,RR,Brazil,02/04/2021 15:13,2146.0,72.0,0.0
27933,05/21/2020,Santa Catarina,SC,Brazil,02/04/2021 15:13,5610.0,98.0,0.0
27934,05/21/2020,Sao Paulo,SP,Brazil,02/04/2021 15:13,73739.0,5558.0,0.0
27938,05/21/2020,Sergipe,SE,Brazil,02/04/2021 15:13,4734.0,76.0,0.0
27962,05/21/2020,Tocantins,TO,Brazil,02/04/2021 15:13,1976.0,47.0,0.0
28171,05/22/2020,Acre,AC,Brazil,02/04/2021 15:13,3343.0,80.0,0.0
28174,05/22/2020,Alagoas,AL,Brazil,02/04/2021 15:13,5302.0,280.0,0.0
28177,05/22/2020,Amapa,AP,Brazil,02/04/2021 15:13,5655.0,157.0,0.0
